Product,Price,Items_left,Image_url,id
Women Shoes Sneakers Ladies Shoes Sport Shoes Casual Shoes Running Sneakers,4.7,141  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/8193582/1.jpg?5709,36
Men's Palm Sandals PU Leather Shoes Comfortable Soft Sole Casual Black,8.18,249  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/3474491/1.jpg?8563,37
T-Wolf Thunder Wolf Q13 Charging Mute Wireless Mouse,5.69,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/1575552/1.jpg?8919,38
Men Shoes Sneakers Sport Shoes Casual Shoes Running Shoes Men Athletic,6.34,30  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/2253803/1.jpg?8930,39
"16"" Stainless Steel Dish Drainer With Cup And Cutlery Holder",5.93,48  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/381054/1.jpg?3240,40
Rechargeable Metal Simple Style Hair Clipper,2.31,37  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/6629053/1.jpg?0088,41
Backpack Casual Laptop School Bag,4.06,48  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/950456/1.jpg?0716,42
5-in-1 USB Cable Fast Charging For Apple/Android/Type-C,2.7,36  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/1632222/1.jpg?4610,43
Universal Household Tap Water Filter Purifier Six-layerGreen,2.01,48  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/2376402/1.jpg?7085,44
Hug Eau De Parfum + Hug Body Spray Combo (50ml + 75ml),4.07,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/227855/1.jpg?4197,45
HYSLGjt 128GB Metal OTG Usb Flash Drive Waterproof 3D Embossment,4.03,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/8840591/1.jpg?9344,46
EAGEAT Wireless Earpods Bluetooth 5.0 Earphones,2.7,20  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/1095362/1.jpg?8798,47
"Royal 58"" inches Google Smart TV (RTV58GT8 W) - Black",258.82,37  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/2736833/1.jpg?0491,48
Modern 3D Pattern Large Center Rug- 120*160cm(4ft X 6ft)--G,12.46,40  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9598091/1.jpg?1379,49
Osc Signature MENS Quality 100% Cotton Smart 2-In-1 Plain TShirt Bundle,2.57,90  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/7434753/1.jpg?8105,50
128GB Usb Flash Drive Ballpoint Pen Spare Refill,4.31,45  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/584999/1.jpg?0372,51
Berrykey Mens Vintage Patterned Casual Short Sleeve Beach Shirts,4.32,195  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/690064/1.jpg?0824,52
3 PCS Men Bags Chest Bags Crossbody Bags Wallets and Belts-Black,6.46,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/6555711/1.jpg?7618,53
4 PCS Women Bags Backpacks Ladies Bags Handbags School Bags,4.14,47  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/537497/1.jpg?4731,54
Agapeon Wireless Headphones B39 Over-Ear Stereo Earphones,4.89,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/2386413/1.jpg?1468,55
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,3.88,45  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/1713401/1.jpg?8111,56
Men's Polos Short Sleeve Shirts Breathable Blue -White,4.28,75  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/7744431/1.jpg?7165,57
Nail Art Crystal Extension Tool Quickly Crystal Model Set,2.99,48  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/8435113/1.jpg?2577,58
Men Bags Backpacks School Bags Laptop Bags Bookbags Satchel,5.36,48  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/130807/9.jpg?0658,59
Hoodies Men Tops Tracksuit Sweatshirts Sweaters Clothes,3.88,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/2508372/1.jpg?4810,60
"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal",8.12,109  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/2588183/1.jpg?2785,61
2 Layer Toilet Rack Shelf Bathroom Sundries Storage,6.2,39  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/4619872/1.jpg?6653,62
Men's Casual Leather Flats Breathable Loafers & Slip-ons Moccasins Shoes Black,7.51,3  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/4648652/1.jpg?2839,63
Mens High Top Shoes Running Casual Sneaker-Black,8.53,101  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/846289/1.jpg?1438,64
Men's Sweatpants Loose Casual Side Slit Straight-Leg Pants,2.55,79  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/4348872/1.jpg?6784,65
Pure Cotton 3 In 1 Men's Flat Angle Underwear (black+blue+red),4.9,79  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/8595292/1.jpg?4604,66
Zealot S51 Wireless BT Speaker Bass Stereo Waterproof Portable,14.6,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/2986062/1.jpg?3160,67
Agapeon Wireless Headphones P47 Over-Ear Stereo Earphones,4.83,2  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/4686413/1.jpg?1530,68
Women Fashion Sneakers-Violet and Black,3.08,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/739107/1.jpg?4324,69
European And American Bridal Necklace Set,3.3,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/6356943/1.jpg?1197,70
Syinix 2.2L Electric Kettle - Silver,3.52,782  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1724373/1.jpg?0045,71
Plus-Size High Waist Shapewear Tight Pants - Brown,3.75,198  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/3205113/1.jpg?7785,72
Mens Outdoor Soft Sole Non-slip Sandals,7.76,4  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/0632513/1.jpg?4604,73
Women Bags Handbags Ladies Bags Purse Shoulder Bags,7.37,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/040796/1.jpg?2473,74
Vacuum Red Wine Bottle Stopper Wine Plug Bar Tools,1.51,39  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1555833/1.jpg?5566,75
"ZTE Nubia Neo 2 5G, 8GB + 256GB 6.72' 6000MAH Andriod 13 - Yellow",161.13,22  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2641063/1.jpg?9536,80
Dr Teal's Body Wash Glow & Radiance Vitamin C 24oz,5.0,493  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/5774523/1.jpg?4961,81
Universal Household Tap Water Filter Purifier Six-layer Blue,2.0,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/3076402/1.jpg?2896,82
